epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.091,1.00545,1.17929,1.31416,0.67339,0.57595,0.62916,0.45175,1.04225,1.16831,1.35986,0.00333175,0.00333175,0.00333175
2,777.196,1.00646,1.15685,1.31128,0.56722,0.62039,0.61281,0.44089,1.04972,1.26707,1.37143,0.00653312,0.00653312,0.00653312
3,1155.34,1.04335,1.22017,1.33086,0.61101,0.52763,0.5665,0.39006,1.13052,1.39752,1.44201,0.00960248,0.00960248,0.00960248
4,1534.25,1.078,1.30611,1.35267,0.65326,0.54693,0.58791,0.4103,1.09572,1.30471,1.41225,0.009406,0.009406,0.009406
5,408.042,1.06883,1.28464,1.34989,0.65466,0.54974,0.60072,0.42768,1.09529,1.2921,1.41264,0.009208,0.009208,0.009208
6,846.214,1.05395,1.25015,1.33963,0.6183,0.58,0.61095,0.43408,1.07849,1.26195,1.39755,0.00901,0.00901,0.00901
7,1258.72,1.04459,1.20817,1.3303,0.6319,0.58307,0.60957,0.4323,1.07217,1.19482,1.38518,0.008812,0.008812,0.008812
8,1608.61,1.03534,1.1812,1.3219,0.66121,0.59318,0.63691,0.45342,1.05712,1.17621,1.36913,0.008614,0.008614,0.008614
9,1960.92,1.04094,1.20101,1.33182,0.66026,0.62408,0.64506,0.46072,1.0391,1.11432,1.3657,0.008416,0.008416,0.008416
10,2344.11,1.03999,1.18098,1.32669,0.66059,0.61234,0.65,0.4639,1.03696,1.14817,1.35617,0.008218,0.008218,0.008218
11,2728.21,1.03008,1.1613,1.3207,0.69113,0.61009,0.67273,0.48549,1.02331,1.08997,1.34989,0.00802,0.00802,0.00802
12,3070.81,1.02441,1.14183,1.31769,0.67045,0.63014,0.67227,0.48597,1.01738,1.08384,1.34203,0.007822,0.007822,0.007822
13,3413.24,1.02305,1.13431,1.31345,0.63939,0.66829,0.6761,0.49233,1.00358,1.03903,1.32568,0.007624,0.007624,0.007624
14,3754.97,1.01654,1.11825,1.31006,0.63656,0.67397,0.68762,0.49792,0.98803,1.00363,1.31384,0.007426,0.007426,0.007426
15,4095.59,1.01119,1.10179,1.30525,0.68824,0.65923,0.69342,0.50969,0.989,0.99066,1.30701,0.007228,0.007228,0.007228
16,4436.48,1.00486,1.09693,1.30513,0.66035,0.68625,0.69182,0.50841,0.98055,0.98342,1.30683,0.00703,0.00703,0.00703
17,4775.85,0.99612,1.07557,1.29651,0.67395,0.6575,0.69254,0.51088,0.97853,0.9891,1.30325,0.006832,0.006832,0.006832
18,5112.49,0.98992,1.06022,1.29265,0.68542,0.67063,0.69487,0.51039,0.97645,0.97709,1.29848,0.006634,0.006634,0.006634
19,5447.77,0.98826,1.05563,1.29108,0.70363,0.67313,0.70248,0.5167,0.96622,0.96475,1.29224,0.006436,0.006436,0.006436
20,5786.05,0.98833,1.03884,1.28995,0.70363,0.67117,0.7072,0.52151,0.96201,0.95171,1.28481,0.006238,0.006238,0.006238
21,338.745,0.97256,1.01662,1.28145,0.6858,0.68987,0.70938,0.52256,0.95942,0.94589,1.2833,0.00604,0.00604,0.00604
22,674.864,0.97081,1.01289,1.27846,0.71088,0.67137,0.71385,0.5281,0.95568,0.94573,1.28021,0.005842,0.005842,0.005842
23,1009.42,0.97154,0.99602,1.279,0.7036,0.68067,0.7157,0.52948,0.95669,0.94038,1.28194,0.005644,0.005644,0.005644
24,1342.37,0.96615,0.98704,1.27342,0.71808,0.68297,0.71783,0.53196,0.95326,0.93229,1.27957,0.005446,0.005446,0.005446
25,1676.28,0.96127,0.98366,1.27499,0.70148,0.68825,0.72248,0.53468,0.94864,0.92502,1.27544,0.005248,0.005248,0.005248
26,2010.48,0.96096,0.96913,1.26848,0.71972,0.68356,0.72129,0.53684,0.94806,0.92015,1.27391,0.00505,0.00505,0.00505
27,2343.22,0.95478,0.95968,1.26705,0.71267,0.6799,0.72304,0.53867,0.94621,0.91897,1.27263,0.004852,0.004852,0.004852
28,2675.83,0.94937,0.95051,1.2658,0.70462,0.68609,0.72532,0.5398,0.94475,0.91607,1.27142,0.004654,0.004654,0.004654
29,3008.93,0.94952,0.94822,1.2614,0.70319,0.68815,0.72733,0.54227,0.94287,0.9121,1.26924,0.004456,0.004456,0.004456
30,3341.51,0.94242,0.93603,1.25772,0.69795,0.69193,0.72876,0.54357,0.94271,0.90915,1.26903,0.004258,0.004258,0.004258
31,3674.58,0.9378,0.92521,1.25596,0.7045,0.69401,0.72926,0.54448,0.94196,0.90387,1.26853,0.00406,0.00406,0.00406
32,4007.41,0.93348,0.92527,1.2553,0.69514,0.702,0.73076,0.54514,0.94038,0.90146,1.26725,0.003862,0.003862,0.003862
33,4339.92,0.92611,0.90354,1.24847,0.68813,0.70821,0.73153,0.54491,0.93975,0.90054,1.26683,0.003664,0.003664,0.003664
34,4672.89,0.91756,0.89037,1.24389,0.69045,0.70774,0.73196,0.54561,0.93912,0.89848,1.26598,0.003466,0.003466,0.003466
35,5006.02,0.91837,0.89034,1.24306,0.69055,0.70703,0.73299,0.54611,0.93845,0.89706,1.26535,0.003268,0.003268,0.003268
36,5338.72,0.92164,0.88469,1.24369,0.69003,0.71185,0.73316,0.54671,0.9384,0.89511,1.26507,0.00307,0.00307,0.00307
